ICD9,Description,HCUP CCS Classification,HCC Category,CCW Classification,CDPS Classification
10,Cholera d/t vib cholerae,Intest infct,,,"Gastrointestinal, Super Low"
11,Cholera d/t vib el tor,Intest infct,,,"Gastrointestinal, Super Low"
19,Cholera NOS,Intest infct,,,"Gastrointestinal, Super Low"
20,Typhoid fever,Intest infct,,,"Gastrointestinal, Super Low"
21,Paratyphoid fever a,Intest infct,,,"Gastrointestinal, Super Low"
22,Paratyphoid fever b,Intest infct,,,"Gastrointestinal, Super Low"
23,Paratyphoid fever c,Intest infct,,,"Gastrointestinal, Super Low"
29,Paratyphoid fever NOS,Intest infct,,,"Gastrointestinal, Super Low"
30,Salmonella enteritis,Intest infct,,,"Gastrointestinal, Super Low"
31,Salmonella septicemia,Septicemia,HCC2 Septicemia/Shock,,"Gastrointestinal, Super Low"
320,Local salmonella inf NOS,Intest infct,,,"Gastrointestinal, Super Low"
321,Salmonella meningitis,Meningitis,,,"Gastrointestinal, Super Low"
322,Salmonella pneumonia,Pneumonia,"HCC112 Pneumococcal Pneumonia, Empyema, Lung Abscess",,"Gastrointestinal, Super Low"
323,Salmonella arthritis,Infect arth,HCC37 Bone/Joint/Muscle Infections/Necrosis,,"Gastrointestinal, Super Low"
324,Salmonella osteomyelitis,Infect arth,HCC37 Bone/Joint/Muscle Infections/Necrosis,,"Gastrointestinal, Super Low"
329,Local salmonella inf NEC,Intest infct,,,"Gastrointestinal, Super Low"
38,Salmonella infection NEC,Intest infct,,,"Gastrointestinal, Super Low"
39,Salmonella infection NOS,Intest infct,,,"Gastrointestinal, Super Low"
40,Shigella dysenteriae,Intest infct,,,"Gastrointestinal, Super Low"
41,Shigella flexneri,Intest infct,,,"Gastrointestinal, Super Low"
42,Shigella boydii,Intest infct,,,"Gastrointestinal, Super Low"
43,Shigella sonnei,Intest infct,,,"Gastrointestinal, Super Low"
48,Shigella infection NEC,Intest infct,,,"Gastrointestinal, Super Low"
49,Shigellosis NOS,Intest infct,,,"Gastrointestinal, Super Low"
50,Staph food poisoning,Intest infct,,,"Gastrointestinal, Super Low"
51,Botulism food poisoning,Intest infct,,,"Gastrointestinal, Super Low"
52,Food pois d/t c. perfrin,Intest infct,,,"Gastrointestinal, Super Low"
53,Food pois: clostrid NEC,Intest infct,,,"Gastrointestinal, Super Low"
54,Food pois: v. parahaem,Intest infct,,,"Gastrointestinal, Super Low"
581,Food poisn d/t v. vulnif,Intest infct,,,"Gastrointestinal, Super Low"
589,Bact food poisoning NEC,Intest infct,,,"Gastrointestinal, Super Low"
59,Food poisoning NOS,Intest infct,,,"Gastrointestinal, Super Low"
60,Ac amebiasis w/o abscess,Intest infct,,,"Gastrointestinal, Super Low"
61,Chr amebiasis w/o absces,Intest infct,,,"Gastrointestinal, Super Low"
62,Amebic nondysent colitis,Intest infct,,,"Gastrointestinal, Super Low"
63,Amebic liver abscess,Intest infct,,,"Gastrointestinal, Super Low"
64,Amebic lung abscess,Intest infct,"HCC112 Pneumococcal Pneumonia, Empyema, Lung Abscess",,"Gastrointestinal, Super Low"
65,Amebic brain abscess,Intest infct,,,"Gastrointestinal, Super Low"
